Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
ALLK,Allakos Inc.,44.49,1873609995,n/a,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/allk
ABTX,"Allegiance Bancshares, Inc.",43.8,585500442,n/a,2015,Finance,Major Banks,https://www.nasdaq.com/symbol/abtx
ALGT,Allegiant Travel Company,123.45,1995388149,n/a,2006,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/algt
ALGR,Allegro Merger Corp.,9.55,0,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/algr
ALGRR,Allegro Merger Corp.,0.38,0,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/algrr
ALGRU,Allegro Merger Corp.,10.24,0,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/algru
ALGRW,Allegro Merger Corp.,0.3202,0,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/algrw
ALNA,"Allena Pharmaceuticals, Inc.",11.12,230764097,n/a,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/alna
AMMA,"Alliance MMA, Inc.",0.3143,4671432.728,n/a,2016,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/amma
ARLP,"Alliance Resource Partners, L.P.",19.45,2555138603,n/a,1999,Energy,Coal Mining,https://www.nasdaq.com/symbol/arlp
AHPI,"Allied Healthcare Products, Inc.",2.38,9552218.06,n/a,1992,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/ahpi
AMOT,"Allied Motion Technologies, Inc.",48.64,460867793.9,n/a,n/a,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/amot
ALQA,"Alliqua BioMedical, Inc.",2.46,12312816.6,n/a,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/alqa
ALLT,Allot Communications Ltd.,6.21,209365989.3,n/a,2006,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/allt
MDRX,"Allscripts Healthcare Solutions, Inc.",14.61,2551049762,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/mdrx
ALNY,"Alnylam Pharmaceuticals, Inc.",94.96,9559253996,n/a,2004,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alny
AOSL,Alpha and Omega Semiconductor Limited,12.53,299001472.9,n/a,2010,Technology,Semiconductors,https://www.nasdaq.com/symbol/aosl
GOOG,Alphabet Inc.,1175.33,8.18E+11,n/a,2004,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/goog
GOOGL,Alphabet Inc.,1182.14,8.22E+11,n/a,n/a,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/googl
SMCP,AlphaMark Actively Managed Small Cap ETF,26.8233,28164465,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/smcp
ATEC,"Alphatec Holdings, Inc.",3.44,145842467,n/a,2006,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/atec
ALPN,"Alpine Immune Sciences, Inc.",6.24,86428754.88,n/a,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alpn
SWIN,ALPS/Dorsey Wright Sector Momentum ETF,33.03,11560566.06,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/swin
AMR,"Alta Mesa Resources, Inc.",4.65,1785509702,n/a,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/amr
AMRWW,"Alta Mesa Resources, Inc.",0.6,0,n/a,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/amrww
AABA,Altaba Inc.,67.98,41162447164,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/aaba
ALTR,Altair Engineering Inc.,39.98,2795004838,n/a,2017,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/altr
ALT,"Altimmune, Inc.",0.26,10006745.32,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alt
ASPS,Altisource Portfolio Solutions S.A.,33.45,570018640.2,n/a,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/asps
AIMC,Altra Industrial Motion Corp.,39,1145153451,n/a,2006,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aimc
AMAG,"AMAG Pharmaceuticals, Inc.",22.95,791151150.2,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/amag
AMAL,Amalgamated Bank,18.91,0,n/a,2018,Consumer Non-Durables,Textiles,https://www.nasdaq.com/symbol/amal
AMRN,Amarin Corporation plc,2.94,856227727.7,291233921,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/amrn
AMRK,"A-Mark Precious Metals, Inc.",13.76,96752752,n/a,n/a,Basic Industries,Other Specialty Stores,https://www.nasdaq.com/symbol/amrk
AMZN,"Amazon.com, Inc.",1989.87,9.71E+11,n/a,1997,Consumer Services,Catalog/Specialty Distribution,https://www.nasdaq.com/symbol/amzn
AMBC,"Ambac Financial Group, Inc.",21.2,961042936.8,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/ambc
AMBCW,"Ambac Financial Group, Inc.",10.2499,0,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/ambcw
AMBA,"Ambarella, Inc.",39,1250207439,n/a,2012,Technology,Semiconductors,https://www.nasdaq.com/symbol/amba
AMCX,AMC Networks Inc.,64.04,3645693007,n/a,n/a,Consumer Services,Television Services,https://www.nasdaq.com/symbol/amcx
